obs,loc,block,temp,food,smass,emass,ssl,esl,days
190,Snake River,South,10,Once Daily,0.457,0.469,29.54,30.04,55
191,Snake River,North,17,Twice Daily,0.753,0.695,34.16,35.19,55
192,Main Creek,South,10,Once Daily,NA,NA,32.08,NA,NA
193,Badger Creek,South,10,Once Daily,1.317,1.259,41.63,42.37,55
194,Main Creek,South,24,Twice Daily,0.742,NA,35.86,NA,NA
195,Badger Creek,South,24,Once Daily,0.458,0.824,29.41,35.22,55
196,Badger Creek,North,24,Once Daily,0.458,0.771,28.86,34.28,55
197,Snake River,South,10,Twice Daily,0.68,NA,33.2,NA,NA
198,Badger Creek,North,17,Once Daily,0.705,0.652,33.46,34.28,55
199,Main Creek,North,17,Twice Daily,0.997,0.962,37,39.29,55
200,Badger Creek,North,10,Twice Daily,0.894,0.764,34.86,36.21,55
201,Snake River,South,17,Twice Daily,0.853,0.81,35.64,36.75,55
202,Snake River,North,17,Twice Daily,0.391,0.501,28.77,31.54,55
203,Snake River,South,17,Once Daily,0.448,NA,30,NA,NA
204,Snake River,North,24,Once Daily,0.502,0.589,31.03,31.82,55
205,Snake River,North,10,Twice Daily,0.665,0.604,33.88,34.11,55
206,Snake River,North,17,Twice Daily,0.582,0.777,33.43,35.76,55
207,Badger Creek,South,17,Twice Daily,0.451,0.418,29.27,29.92,55
208,Snake River,South,24,Once Daily,0.65,0.609,34.88,33.44,55
209,Badger Creek,North,17,Twice Daily,0.543,0.401,30.94,29.87,55
210,Main Creek,South,10,Twice Daily,0.383,0.403,28.15,28.99,55
211,Snake River,South,10,Twice Daily,1.174,1.263,39.39,41.08,55
212,Main Creek,South,17,Twice Daily,0.84,NA,36.57,NA,NA
213,Snake River,South,17,Once Daily,0.548,0.63,30.41,33.39,55
214,Badger Creek,North,17,Once Daily,0.582,0.661,31.57,34.17,55
215,Badger Creek,South,24,Twice Daily,0.753,0.938,33.92,37.61,55
216,Main Creek,North,24,Twice Daily,0.94,1.022,38.51,39.4,55
217,Main Creek,North,24,Twice Daily,1.098,1.819,38.19,45.34,55
218,Badger Creek,North,10,Twice Daily,0.695,0.675,32.26,33.6,55
219,Main Creek,North,24,Once Daily,0.942,0.898,38.15,39.5,55
220,Snake River,South,17,Once Daily,1.019,1.217,37.99,41.04,55
221,Main Creek,North,10,Twice Daily,1.186,1.118,40.61,41.1,55
222,Snake River,North,10,Once Daily,0.748,0.71,35.18,35.65,55
223,Badger Creek,South,17,Twice Daily,0.388,0.493,26.97,30.13,55
224,Badger Creek,North,17,Twice Daily,0.904,0.889,36.63,37.13,55
225,Badger Creek,South,24,Once Daily,0.656,1.065,32.83,39.16,55
226,Snake River,South,24,Once Daily,0.537,0.666,33.14,34.41,55
227,Badger Creek,North,10,Once Daily,1.017,0.956,38.94,38.13,55
228,Snake River,South,10,Twice Daily,0.745,0.788,36.03,36.43,55
229,Badger Creek,North,17,Once Daily,0.303,0.399,25.54,28.95,55
230,Main Creek,North,24,Once Daily,0.638,0.928,31.79,37.89,55
231,Badger Creek,South,17,Twice Daily,0.768,0.958,35.31,38.14,55
232,Badger Creek,North,10,Twice Daily,0.619,0.559,31.85,33.15,55
233,Main Creek,North,17,Twice Daily,0.834,0.675,35.99,37.8,28
234,Snake River,North,24,Once Daily,0.556,0.815,33.59,36.25,55
235,Badger Creek,South,10,Twice Daily,0.819,0.678,34.45,35.11,55
236,Main Creek,North,10,Twice Daily,1.134,1.052,38.07,39.84,55
237,Badger Creek,South,17,Twice Daily,0.612,0.737,31.35,33.98,55
238,Badger Creek,North,10,Twice Daily,0.848,0.77,35.21,36.18,55
239,Badger Creek,South,10,Twice Daily,0.794,0.802,35.5,36.43,55
240,Snake River,South,10,Twice Daily,0.49,0.502,30.03,31.78,55
241,Snake River,South,24,Twice Daily,0.564,0.932,32.32,37.09,55
242,Snake River,North,24,Twice Daily,0.502,NA,30.61,NA,NA
243,Badger Creek,North,10,Twice Daily,0.712,0.607,32.37,33.58,55
244,Snake River,South,10,Once Daily,1.074,0.992,38.09,40,55
245,Snake River,South,17,Once Daily,0.997,0.983,37.41,39.46,55
246,Snake River,North,10,Once Daily,0.788,0.685,36.4,37.03,55
247,Main Creek,South,10,Once Daily,0.958,NA,37.14,NA,NA
248,Badger Creek,North,17,Twice Daily,1.189,1.131,40.45,40.23,55
249,Badger Creek,North,10,Once Daily,0.9,0.864,36.96,37.52,55
250,Snake River,South,24,Twice Daily,0.641,1.04,33.36,38.08,55
251,Snake River,South,17,Once Daily,1.087,1.169,40.85,43.01,54
252,Snake River,South,24,Once Daily,0.726,0.748,34.49,35.42,54
253,Snake River,North,24,Once Daily,0.716,0.288,34.62,31.32,54
254,Main Creek,South,24,Twice Daily,0.63,0.864,32.11,35.71,54
255,Main Creek,South,10,Once Daily,0.665,0.646,32.74,34.31,54
256,Snake River,South,24,Once Daily,0.468,0.482,29.33,30.71,54
257,Badger Creek,South,17,Once Daily,0.452,NA,29.65,NA,NA
258,Badger Creek,South,24,Twice Daily,0.398,0.882,27.88,35.39,54
259,Snake River,North,24,Once Daily,0.448,0.795,30.01,35.46,54
260,Main Creek,North,10,Once Daily,0.873,0.823,38.34,36.77,54
261,Badger Creek,North,24,Twice Daily,0.794,1.098,35.66,39.55,54
262,Badger Creek,North,17,Once Daily,0.486,0.555,30.78,32.96,54
263,Main Creek,North,10,Once Daily,0.84,0.72,36.29,37.03,54
264,Main Creek,South,17,Once Daily,0.908,0.98,37.95,40.03,54
265,Badger Creek,South,10,Once Daily,0.522,0.514,30.78,31.2,54
266,Snake River,North,17,Once Daily,0.352,0.477,29.46,31.13,54
267,Main Creek,South,10,Twice Daily,1.119,1.123,39.53,40.45,54
268,Snake River,North,24,Twice Daily,0.933,1.069,37.6,37.92,54
269,Main Creek,North,10,Once Daily,0.899,0.796,37.23,37.25,54
270,Snake River,North,17,Once Daily,0.539,0.655,31.96,34.3,54
271,Main Creek,North,17,Twice Daily,0.978,0.946,37.38,37.19,54
272,Main Creek,South,17,Twice Daily,0.863,0.971,36.94,38.27,54
273,Main Creek,South,10,Once Daily,0.881,0.875,38.18,39.14,54
274,Badger Creek,South,17,Once Daily,0.951,0.918,38.37,38.62,54
275,Badger Creek,North,10,Twice Daily,0.627,0.552,31.94,32.52,54
276,Main Creek,North,17,Twice Daily,0.872,0.748,36.52,37.62,54
277,Main Creek,North,24,Twice Daily,1.226,1.221,40.33,41.41,54
278,Snake River,South,10,Once Daily,0.708,0.813,37.11,36.39,54
279,Snake River,South,17,Once Daily,0.584,0.68,32.38,32.91,54
280,Badger Creek,North,24,Once Daily,0.505,0.687,30,34.27,54
281,Badger Creek,South,10,Once Daily,0.701,0.751,32.78,34.87,54
282,Main Creek,South,17,Once Daily,0.838,0.743,35.18,35.65,54
283,Badger Creek,North,24,Once Daily,0.662,0.662,33.56,35.41,54
284,Snake River,North,24,Once Daily,0.784,1.065,36.68,39.5,54
285,Snake River,South,10,Twice Daily,0.633,NA,35.26,NA,NA
286,Badger Creek,North,17,Twice Daily,0.953,1.31,38.12,41.76,54
287,Badger Creek,North,10,Twice Daily,0.682,0.583,33.04,33.9,54
288,Main Creek,South,10,Once Daily,1.025,0.904,39.15,40.33,54
289,Badger Creek,North,17,Twice Daily,0.999,0.993,36.25,38.01,54
290,Badger Creek,North,10,Twice Daily,0.834,0.69,34.14,35.37,54
291,Main Creek,South,10,Twice Daily,1.232,1.187,39.86,40.29,54
292,Main Creek,South,17,Once Daily,1.257,1.353,42.95,43.38,54
293,Snake River,North,10,Once Daily,0.542,0.535,31.18,32.66,54
294,Snake River,North,17,Twice Daily,0.856,0.947,36.79,38.37,54
295,Snake River,South,17,Twice Daily,0.775,1.095,34.84,38.69,54
296,Badger Creek,North,24,Twice Daily,1.036,1.321,37.53,40.27,54
297,Main Creek,South,24,Once Daily,1.111,1.302,40.12,42.29,54
298,Main Creek,South,24,Once Daily,1.131,1.45,39.23,43.71,54
299,Badger Creek,North,24,Once Daily,0.697,1.112,33.71,39.04,54
300,Main Creek,South,17,Once Daily,1.196,1.415,40.89,43.95,54
301,Snake River,North,10,Twice Daily,0.64,0.62,34.65,34.05,54
302,Badger Creek,South,24,Twice Daily,0.926,1.328,37.42,41.52,54
303,Main Creek,North,10,Once Daily,0.907,NA,37.74,NA,NA
304,Snake River,South,24,Twice Daily,0.883,0.958,37.64,37.95,54
305,Snake River,South,17,Once Daily,1.049,1.108,38.82,39.77,54
306,Snake River,South,24,Twice Daily,1.188,1.45,41.58,43.23,54
307,Main Creek,South,10,Twice Daily,1.079,0.992,37.25,39.29,54
308,Main Creek,North,17,Twice Daily,0.83,0.864,35.8,38.34,54
309,Main Creek,South,17,Once Daily,0.891,1.088,37.77,39.75,54
310,Main Creek,North,24,Once Daily,0.917,NA,36.8,NA,NA
311,Badger Creek,South,24,Twice Daily,0.467,0.507,29.49,30.63,54
312,Snake River,North,10,Once Daily,0.689,0.685,35.32,34.8,54
313,Main Creek,North,17,Twice Daily,0.812,0.733,35.18,36.37,54
314,Snake River,North,24,Twice Daily,0.657,0.711,33.38,34.29,54
315,Badger Creek,South,17,Once Daily,0.694,0.817,33.61,35.61,54
316,Snake River,North,10,Once Daily,0.735,0.755,35.59,35.27,54
317,Badger Creek,South,24,Twice Daily,0.493,0.853,30.51,36.42,54
318,Badger Creek,South,10,Twice Daily,0.746,0.761,35.31,35.25,54
319,Snake River,South,24,Once Daily,0.599,NA,34.16,NA,NA
320,Snake River,North,17,Once Daily,0.746,0.796,35.81,36.43,54
321,Badger Creek,South,10,Once Daily,0.834,0.847,35.14,35.37,54
322,Snake River,North,17,Twice Daily,0.6,NA,33.32,NA,NA
323,Badger Creek,North,17,Twice Daily,0.601,0.692,32.7,34.08,54
324,Badger Creek,South,17,Once Daily,0.552,NA,30.99,NA,NA
325,Main Creek,South,17,Once Daily,1.253,1.223,42.51,42.76,54
326,Badger Creek,North,24,Once Daily,0.959,1.223,37.23,40.7,54
327,Badger Creek,South,24,Twice Daily,0.574,0.825,33.1,36.1,54
328,Snake River,South,24,Once Daily,0.701,0.768,33.84,34.78,54
329,Badger Creek,South,17,Twice Daily,0.545,0.578,32.26,32.52,54
330,Badger Creek,South,17,Twice Daily,0.529,0.7,30.46,33.6,54
331,Badger Creek,South,10,Once Daily,0.894,0.819,36.39,37.42,54
332,Snake River,North,24,Once Daily,0.463,0.797,31.7,35.7,54
333,Badger Creek,South,17,Once Daily,0.926,1.018,37.52,38.76,54
334,Snake River,South,17,Twice Daily,0.492,0.576,31.17,32.58,54
335,Badger Creek,North,10,Once Daily,0.853,0.65,35.34,34.95,54
336,Main Creek,North,24,Twice Daily,0.818,1.048,36.09,38.53,54
337,Snake River,North,10,Once Daily,0.732,0.624,35.09,34.91,54
338,Snake River,South,24,Twice Daily,0.984,1.232,36.59,40.17,54
339,Snake River,South,17,Once Daily,0.887,0.8,37.13,37.03,54
340,Main Creek,South,24,Twice Daily,1.223,1.08,41.68,40.09,54
341,Main Creek,South,10,Once Daily,0.74,0.67,35.07,35.7,54
342,Snake River,South,17,Twice Daily,0.346,NA,30.07,NA,NA
343,Snake River,South,24,Once Daily,0.626,0.642,34.17,33.78,54
344,Badger Creek,South,10,Twice Daily,0.295,0.29,26.11,26.59,54
345,Badger Creek,South,24,Once Daily,0.975,0.935,38.48,39.04,54
346,Main Creek,South,24,Twice Daily,1.199,1.346,40.02,43.11,54
347,Snake River,South,10,Twice Daily,0.561,0.615,32.4,33.73,54
348,Snake River,North,24,Twice Daily,0.767,0.709,34.3,35.73,54
349,Badger Creek,North,10,Once Daily,1.047,NA,38.51,NA,NA
350,Snake River,North,24,Twice Daily,0.649,1.14,35.34,38.94,54
351,Badger Creek,North,24,Once Daily,1.095,0.966,NA,37.29,54
352,Badger Creek,North,17,Once Daily,0.662,0.622,32.71,32.48,54
353,Badger Creek,South,17,Once Daily,0.668,0.683,33.72,35.51,54
354,Main Creek,North,17,Twice Daily,1.161,1.183,41.5,41.22,54
355,Badger Creek,North,24,Once Daily,0.778,0.816,34.96,35.7,54
356,Main Creek,North,17,Twice Daily,0.912,NA,37.72,NA,NA
357,Main Creek,North,17,Once Daily,1.125,1.215,40.06,41.63,54
358,Snake River,South,10,Twice Daily,0.598,0.573,33.2,33.91,54
359,Snake River,South,10,Twice Daily,0.932,0.942,37.96,38.39,54
360,Badger Creek,South,24,Twice Daily,1.109,1.374,38.22,41.21,54
361,Main Creek,North,10,Once Daily,1.126,1.123,40.56,40.17,49
362,Main Creek,North,10,Twice Daily,1.413,1.384,43.37,43.79,49
363,Main Creek,North,17,Twice Daily,1.022,1.191,38.72,39.5,49
364,Main Creek,North,24,Twice Daily,1.073,1.675,41.44,45.36,49
365,Main Creek,North,24,Twice Daily,1.216,1.103,40.39,41.83,49
366,Snake River,North,24,Twice Daily,0.836,1.132,35.47,38.66,49
367,Main Creek,South,10,Once Daily,1.183,1.329,42.05,42.55,49
368,Main Creek,South,10,Twice Daily,1.209,1.123,42.38,42.08,49
369,Main Creek,South,10,Once Daily,1.06,1.047,39.25,39.02,49
370,Main Creek,South,10,Once Daily,1,0.982,39.85,39.35,49
371,Snake River,South,10,Twice Daily,0.795,0.841,36.14,35.95,49
372,Badger Creek,South,17,Once Daily,0.921,0.884,37.99,37.42,49
373,Snake River,South,24,Once Daily,1.231,1.524,42.58,45.54,49
374,Main Creek,North,10,Once Daily,1.044,0.994,38.79,39.63,49
375,Badger Creek,South,17,Once Daily,1.24,1.3,38.18,39.76,48
