month,day,year,region,site,burn_year,transect,plot,book,species,height_cm,basal_diameter_cm,age,safe_site,radius_m,area_sampled_m2,notes
july,14,2018,Yakutsk,Duck,2002,NA,p1,Yakutsk_2018_1,Larix cajanderi,5,0.02,6,no,2,12.5663706143592,7 pine recruits are all <20 cm tall
july,16,2018,Yakutsk,Duck,2002,NA,p14,Yakutsk_2018_1,Larix cajanderi,5,0.1,7,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p14,Yakutsk_2018_1,Larix cajanderi,5,0.1,5,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p21,Yakutsk_2018_1,Larix cajanderi,5,0.1,6,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,-25b,Siberia_2019_5,Larix cajanderi,5.4,0.18,7,hummock,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p19,Yakutsk_2018_1,Larix cajanderi,5.5,0.11,4,no,1,3.14159265358979,NA
july,1,2018,Cherskiy,FU,2015,2,-60,Siberia_2018_1,Larix cajanderi,6,0.14,2,no,2,12.5663706143592,lots of recruits - open mossy area with few shrubs
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,6,0.08,2,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,6,0.08,2,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p21,Yakutsk_2018_1,Larix cajanderi,6,0.08,6,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,2,25,Siberia_2019_5,Larix cajanderi,6.5,0.14,6,tussock,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p19,Yakutsk_2018_1,Larix cajanderi,6.5,0.1,4,no,1,3.14159265358979,NA
june,23,2019,Cherskiy,ANS,2003,3,-25b,Siberia_2019_5,Larix cajanderi,6.6,0.12,4,hummock,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,50,Siberia_2018_1,Larix cajanderi,7,0.12,3,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,NA,p1,Yakutsk_2018_1,Larix cajanderi,7,0.07,8,no,2,12.5663706143592,7 pine recruits are all <20 cm tall
july,2,2019,Cherskiy,HR,1990,2,75,Siberia_2019_8,Larix cajanderi,7.23,0.23,7,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p14,Yakutsk_2018_1,Larix cajanderi,7.5,0.11,7,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,100,Siberia_2019_5,Larix cajanderi,7.9,0.26,9,hummock,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,2,25,Siberia_2018_1,Larix cajanderi,8,0.08,2,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p16,Yakutsk_2018_1,Larix cajanderi,8,0.04,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,25,Siberia_2018_1,Larix cajanderi,8.5,0.1,3,no,0.5,1.5707963267949,NA
july,15,2018,Yakutsk,Duck,2002,NA,p7,Yakutsk_2018_1,Larix cajanderi,8.5,0.07,10,hummock,2,12.5663706143592,NA
july,2,2019,Cherskiy,HR,1990,2,50,Siberia_2019_8,Larix cajanderi,8.75,0.28,7,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,9,0.07,7,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,25,Siberia_2018_1,Larix cajanderi,9,0.15,4,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,14,2018,Yakutsk,Duck,2002,NA,p1,Yakutsk_2018_1,Larix cajanderi,9,0.05,9,no,2,12.5663706143592,7 pine recruits are all <20 cm tall
july,14,2018,Yakutsk,Duck,2002,NA,p1,Yakutsk_2018_1,Larix cajanderi,9,0.08,8,no,2,12.5663706143592,7 pine recruits are all <20 cm tall
july,15,2018,Yakutsk,Duck,2002,NA,p5,Yakutsk_2018_1,Larix cajanderi,9,0.09,8,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p6,Yakutsk_2018_1,Larix cajanderi,9,0.1,5,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p14,Yakutsk_2018_1,Larix cajanderi,9,0.08,8,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p19,Yakutsk_2018_1,Larix cajanderi,9.5,0.1,5,no,1,3.14159265358979,NA
june,25,2018,Cherskiy,CN,2001,1,75,Siberia_2018_1,Larix cajanderi,10,0.18,4,no,2,12.5663706143592,age from core
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,10,0.08,7,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,50,Yakutsk_2018_1,Larix cajanderi,10,0.085,7,no,2,12.5663706143592,NA
july,1,2018,Cherskiy,FU,2015,2,-35,Siberia_2018_1,Larix cajanderi,10,0.15,4,woody_debris,2,12.5663706143592,NA
july,2,2018,Cherskiy,FOC,2015,2,200,Siberia_2018_1,Larix cajanderi,10,0.27,3,tussock,1,3.14159265358979,NA
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,10,0.15,2,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
july,3,2018,Cherskiy,Shark,2010,3,150,Siberia_2018_1,Larix cajanderi,10,0.2,3,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,NA,p4,Yakutsk_2018_1,Larix cajanderi,10,0.12,6,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p19,Yakutsk_2018_1,Larix cajanderi,10,0.15,5,no,1,3.14159265358979,NA
july,3,2018,Cherskiy,Shark,2010,1,25,Siberia_2018_1,Larix cajanderi,10.1,0.2,3,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,100,Siberia_2018_1,Larix cajanderi,10.5,0.18,4,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,3,2018,Cherskiy,Shark,2010,2,25,Siberia_2018_1,Larix cajanderi,11,0.15,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,11,0.25,2,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
july,3,2018,Cherskiy,Shark,2010,3,300,Siberia_2018_1,Larix cajanderi,11,0.4,2,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p7,Yakutsk_2018_1,Larix cajanderi,11,0.09,8,hummock,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p7,Yakutsk_2018_1,Larix cajanderi,11,0.09,9,hummock,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p8,Yakutsk_2018_1,Larix cajanderi,11,0.09,7,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p21,Yakutsk_2018_1,Larix cajanderi,11,0.18,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,75,Siberia_2018_1,Larix cajanderi,11.5,0.1,4,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,NA,p4,Yakutsk_2018_1,Larix cajanderi,11.5,0.12,6,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p21,Yakutsk_2018_1,Larix cajanderi,11.8,0.2,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,2,25,Siberia_2018_1,Larix cajanderi,12,0.14,3,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,25,Siberia_2018_1,Larix cajanderi,12,0.21,4,no,0.5,1.5707963267949,NA
july,14,2018,Yakutsk,Duck,2002,NA,p4,Yakutsk_2018_1,Larix cajanderi,12,0.2,6,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p16,Yakutsk_2018_1,Larix cajanderi,12,0.1,6,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p19,Yakutsk_2018_1,Larix cajanderi,12,0.15,8,no,1,3.14159265358979,NA
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,13,0.15,8,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p8,Yakutsk_2018_1,Larix cajanderi,13,0.1,9,no,2,12.5663706143592,NA
june,12,2019,Yakutsk,Maya,2002,2,25,Siberia_2019_1,Larix cajanderi,13.3,0.2,5,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,13.7,0.179,2,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,25,Siberia_2018_1,Larix cajanderi,13.7,0.23,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,8,2018,Cherskiy,CN,2001,3,25,Siberia_2018_1,Larix cajanderi,13.8,0.26,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,14,0.18,6,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,2,25,Siberia_2018_1,Larix cajanderi,14,0.35,8,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,16,2018,Yakutsk,Duck,2002,NA,p14,Yakutsk_2018_1,Larix cajanderi,14,0.2,7,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p6,Yakutsk_2018_1,Larix cajanderi,14.5,0.18,8,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p7,Yakutsk_2018_1,Larix cajanderi,14.5,0.2,7,hummock,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,1,100,Siberia_2018_1,Larix cajanderi,15,0.2,3,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,15,0.2,2,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,2,50,Siberia_2018_1,Larix cajanderi,15,0.25,3,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,50,Siberia_2018_1,Larix cajanderi,15,0.15,3,no,1,3.14159265358979,NA
july,14,2018,Yakutsk,Duck,2002,NA,p1,Yakutsk_2018_1,Larix cajanderi,15,0.12,9,no,2,12.5663706143592,7 pine recruits are all <20 cm tall
july,14,2018,Yakutsk,Duck,2002,NA,p4,Yakutsk_2018_1,Larix cajanderi,15,0.13,6,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,50,Siberia_2018_1,Larix cajanderi,15.3,0.2,5,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,3,2018,Cherskiy,Shark,2010,3,75,Siberia_2018_1,Larix cajanderi,15.5,0.08,4,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p5,Yakutsk_2018_1,Larix cajanderi,15.5,0.13,9,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p21,Yakutsk_2018_1,Larix cajanderi,15.5,0.23,6,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,16,0.32,4,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,1,100,Siberia_2018_1,Larix cajanderi,16,0.47,3,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,50,Yakutsk_2018_1,Larix cajanderi,16,0.09,7,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,50,Yakutsk_2018_1,Larix cajanderi,16,0.13,8,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p5,Yakutsk_2018_1,Larix cajanderi,16,0.2,9,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p8,Yakutsk_2018_1,Larix cajanderi,16,0.1,7,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p16,Yakutsk_2018_1,Larix cajanderi,16,0.2,7,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p5,Yakutsk_2018_1,Larix cajanderi,16.8,0.16,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,75,Siberia_2018_1,Larix cajanderi,17,0.16,4,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,NA,p4,Yakutsk_2018_1,Larix cajanderi,17,0.18,6,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p6,Yakutsk_2018_1,Larix cajanderi,17,0.12,7,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,-25b,Siberia_2019_5,Larix cajanderi,17.5,0.22,8,hummock,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,18,0.18,8,no,2,12.5663706143592,NA
june,13,2019,Yakutsk,Korova,2002,1,75,Siberia_2019_1,Larix cajanderi,18,0.3,4,hummock,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,18,0.3,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,25,Siberia_2018_1,Larix cajanderi,18,0.09,3,no,2,12.5663706143592,NA
june,30,2018,Cherskiy,Gonzo,2001,3,75,Siberia_2018_1,Larix cajanderi,18,0.32,3,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
july,3,2018,Cherskiy,Shark,2010,3,200,Siberia_2018_1,Larix cajanderi,18,0.28,4,no,1,3.14159265358979,NA
july,8,2018,Cherskiy,CN,2001,3,25,Siberia_2018_1,Larix cajanderi,18,0.3,6,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,14,2018,Yakutsk,Duck,2002,1,0,Yakutsk_2018_1,Larix cajanderi,19,0.17,7,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,200,Siberia_2018_1,Larix cajanderi,19,0.38,6,no,2,12.5663706143592,radius not specified and assumed to be 2 m
june,23,2019,Cherskiy,ANS,2003,3,-25b,Siberia_2019_5,Larix cajanderi,19.5,0.22,7,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p10,Yakutsk_2018_1,Larix cajanderi,19.5,0.2,10,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,19.7,0.578,3,no,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,NA,p2,Yakutsk_2018_1,Larix cajanderi,19.8,0.19,9,no,1,3.14159265358979,NA
june,29,2018,Cherskiy,Gonzo,2001,2,25,Siberia_2018_1,Larix cajanderi,20,0.1,3,no,2,12.5663706143592,seedling ages obtained in field -  32 seedlings were growing clumped together in a 10x10 cm area! 
june,29,2018,Cherskiy,Gonzo,2001,2,25,Siberia_2018_1,Larix cajanderi,20,0.1,3,no,2,12.5663706143592,seedling ages obtained in field -  32 seedlings were growing clumped together in a 10x10 cm area! 
july,3,2018,Cherskiy,Shark,2010,3,150,Siberia_2018_1,Larix cajanderi,20,0.23,4,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p10,Yakutsk_2018_1,Larix cajanderi,20,0.18,11,no,2,12.5663706143592,NA
june,25,2018,Cherskiy,CN,2001,1,50,Siberia_2018_1,Larix cajanderi,20.2,0.321,3,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,50,Siberia_2018_1,Larix cajanderi,20.5,0.34,3,no,1,3.14159265358979,NA
july,3,2018,Cherskiy,Shark,2010,1,25,Siberia_2018_1,Larix cajanderi,20.9,0.38,4,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,21,0.7,3,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,150,Siberia_2018_1,Larix cajanderi,21,0.45,4,no,2,12.5663706143592,NA
june,13,2019,Yakutsk,Korova,2002,1,150,Siberia_2019_1,Larix cajanderi,21.5,0.3,5,depression,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p8,Yakutsk_2018_1,Larix cajanderi,21.8,0.12,7,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,200,Siberia_2018_1,Larix cajanderi,22,0.58,4,no,1,3.14159265358979,NA
june,25,2019,Cherskiy,BP,1983,2,25,Siberia_2019_5,Larix cajanderi,22.2,0.42,8,hummock,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,50,Yakutsk_2018_1,Larix cajanderi,23,0.095,7,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,25,Siberia_2018_1,Larix cajanderi,23,0.3,4,no,0.5,1.5707963267949,NA
july,3,2018,Cherskiy,Shark,2010,3,75,Siberia_2018_1,Larix cajanderi,23,0.21,4,no,2,12.5663706143592,NA
june,13,2019,Yakutsk,Korova,2002,1,75,Siberia_2019_1,Larix cajanderi,23.5,0.25,4,hummock,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p13,Yakutsk_2018_1,Larix cajanderi,23.5,0.33,8,no,2,12.5663706143592,NA
june,29,2018,Cherskiy,Gonzo,2001,2,200,Siberia_2018_1,Larix cajanderi,24,0.3,3,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,75,Siberia_2018_1,Larix cajanderi,24,0.32,4,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,300,Siberia_2018_1,Larix cajanderi,24,0.7,4,no,2,12.5663706143592,NA
june,22,2019,Cherskiy,ANS,2003,1,50,Siberia_2019_5,Larix cajanderi,24.5,0.33,6,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,150,Siberia_2019_5,Larix cajanderi,24.5,0.33,5,hummock,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,2,25,Siberia_2019_5,Larix cajanderi,24.8,0.38,7,tussock,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,1,75,Siberia_2018_1,Larix cajanderi,25,0.29,3,no,2,12.5663706143592,only 3 recruits measured even though 5 total recruits
july,3,2018,Cherskiy,Shark,2010,1,100,Siberia_2018_1,Larix cajanderi,25,0.28,3,no,2,12.5663706143592,NA
june,10,2019,Yakutsk,FRK,2002,2,-50,Siberia_2019_1,Larix cajanderi,25,0.25,NA,no,2,12.5663706143592,decided to only record age of seedlings on transect 1 because it was taking too long; only plot sampled on this transect; decided not to continue sampling here
june,25,2019,Cherskiy,BP,1983,2,25,Siberia_2019_5,Larix cajanderi,25.2,0.52,9,hummock,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,2,25,Siberia_2019_5,Larix cajanderi,25.6,0.3,5,tussock,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,2,25,Siberia_2018_1,Larix cajanderi,26,0.31,3,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,2,75,Siberia_2018_1,Larix cajanderi,26,0.5,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
june,10,2019,Yakutsk,FRK,2002,2,-50,Siberia_2019_1,Larix cajanderi,26,0.29,NA,no,2,12.5663706143592,decided to only record age of seedlings on transect 1 because it was taking too long; only plot sampled on this transect; decided not to continue sampling here
july,8,2018,Cherskiy,CN,2001,3,200,Siberia_2018_1,Larix cajanderi,26,0.53,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,14,2018,Yakutsk,Duck,2002,NA,p2,Yakutsk_2018_1,Larix cajanderi,26,0.28,9,no,1,3.14159265358979,NA
july,15,2018,Yakutsk,Duck,2002,NA,p5,Yakutsk_2018_1,Larix cajanderi,26,0.3,9,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p13,Yakutsk_2018_1,Larix cajanderi,26,0.32,7,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,-25a,Siberia_2019_5,Larix cajanderi,26.8,0.35,9,hummock,2,12.5663706143592,NA
june,14,2019,Yakutsk,ROB,2002,2,150,Siberia_2019_1,Larix cajanderi,27,0.32,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,50,Siberia_2018_1,Larix cajanderi,27,0.2,4,no,1,3.14159265358979,NA
june,25,2019,Cherskiy,BP,1983,2,25,Siberia_2019_5,Larix cajanderi,27.3,0.78,10,hummock,2,12.5663706143592,Lost 14 cm top kill
june,12,2019,Yakutsk,Maya,2002,2,25,Siberia_2019_1,Larix cajanderi,27.5,0.34,7,hummock,2,12.5663706143592,NA
june,22,2019,Cherskiy,ANS,2003,1,50,Siberia_2019_5,Larix cajanderi,28.2,0.28,7,no,2,12.5663706143592,NA
june,23,2019,Cherskiy,ANS,2003,3,150,Siberia_2019_5,Larix cajanderi,28.5,0.52,6,base_of_tree,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,1,100,Siberia_2018_1,Larix cajanderi,29,0.3,3,TT,2,12.5663706143592,NA
july,14,2018,Yakutsk,Duck,2002,1,25,Yakutsk_2018_1,Larix cajanderi,29,0.32,7,no,1,3.14159265358979,NA
july,15,2018,Yakutsk,Duck,2002,NA,p10,Yakutsk_2018_1,Larix cajanderi,29,0.43,10,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p16,Yakutsk_2018_1,Larix cajanderi,29,0.23,7,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,25,Siberia_2018_1,Larix cajanderi,29.5,0.55,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,8,2018,Cherskiy,CN,2001,3,50,Siberia_2018_1,Larix cajanderi,29.5,0.55,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
july,3,2018,Cherskiy,Shark,2010,3,25,Siberia_2018_1,Larix cajanderi,30,0.35,4,no,0.5,1.5707963267949,NA
july,3,2018,Cherskiy,Shark,2010,3,50,Siberia_2018_1,Larix cajanderi,30,0.32,5,no,1,3.14159265358979,NA
july,3,2018,Cherskiy,Shark,2010,3,200,Siberia_2018_1,Larix cajanderi,30,0.44,4,no,1,3.14159265358979,NA
july,3,2018,Cherskiy,Shark,2010,3,200,Siberia_2018_1,Larix cajanderi,30,0.5,4,no,1,3.14159265358979,NA
july,3,2018,Cherskiy,Shark,2010,3,200,Siberia_2018_1,Larix cajanderi,30,0.36,4,no,1,3.14159265358979,NA
june,14,2019,Yakutsk,ROB,2002,3,25,Siberia_2019_1,Larix cajanderi,30.5,0.38,6,woody_debris,2,12.5663706143592,most larch recruits have browse evidence at ~70-80 cm high
july,16,2018,Yakutsk,Duck,2002,NA,p13,Yakutsk_2018_1,Larix cajanderi,30.5,0.28,8,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,300,Siberia_2018_1,Larix cajanderi,31,0.6,4,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,50,Siberia_2018_1,Larix cajanderi,31,0.55,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
june,10,2019,Yakutsk,FRK,2002,2,-50,Siberia_2019_1,Larix cajanderi,32,0.5,NA,no,2,12.5663706143592,decided to only record age of seedlings on transect 1 because it was taking too long; only plot sampled on this transect; decided not to continue sampling here
june,12,2019,Yakutsk,Maya,2002,2,25,Siberia_2019_1,Larix cajanderi,32,0.38,6,no,2,12.5663706143592,NA
july,3,2018,Cherskiy,Shark,2010,3,150,Siberia_2018_1,Larix cajanderi,32,0.38,4,no,2,12.5663706143592,NA
july,8,2018,Cherskiy,CN,2001,3,100,Siberia_2018_1,Larix cajanderi,32,0.68,7,no,2,12.5663706143592,radius not specified and assumed to be 2 m
june,15,2019,Yakutsk,FRK,2002,3,25,Siberia_2019_1,Larix cajanderi,33,0.35,6,no,2,12.5663706143592,NA
july,16,2018,Yakutsk,Duck,2002,NA,p15,Yakutsk_2018_1,Larix cajanderi,33,0.33,7,no,2,12.5663706143592,NA
july,2,2019,Cherskiy,HR,1990,2,50,Siberia_2019_8,Larix cajanderi,33.1,0.65,8,no,2,12.5663706143592,NA
july,15,2018,Yakutsk,Duck,2002,NA,p10,Yakutsk_2018_1,Larix cajanderi,33.5,0.28,9,no,2,12.5663706143592,NA
june,22,2019,Cherskiy,ANS,2003,1,75,Siberia_2019_5,Larix cajanderi,33.8,0.45,6,no,2,12.5663706143592,NA
